FTIR Spectrum of Ammonia Molecule,
Wavenumber (cm-1),% of Transmittance
422.71,9.18E+01
422.77,9.06E+01
422.83,8.95E+01
422.89,8.85E+01
422.95,8.77E+01
423.02,8.76E+01
423.08,8.82E+01
423.14,8.94E+01
423.2,9.08E+01
423.26,9.21E+01
423.32,9.33E+01
423.38,9.43E+01
423.44,9.50E+01
423.5,9.56E+01
423.56,9.59E+01
423.62,9.62E+01
423.68,9.65E+01
423.74,9.69E+01
423.8,9.74E+01
423.86,9.80E+01
423.92,9.85E+01
423.98,9.90E+01
424.04,9.93E+01
424.1,9.95E+01
424.16,9.95E+01
424.22,9.94E+01
424.28,9.92E+01
424.34,9.89E+01
424.4,9.86E+01
424.46,9.82E+01
424.52,9.78E+01
424.58,9.75E+01
424.64,9.72E+01
424.7,9.70E+01
424.76,9.68E+01
424.82,9.65E+01
424.88,9.61E+01
424.94,9.55E+01
425,9.46E+01
425.06,9.36E+01
425.12,9.24E+01
425.18,9.13E+01
425.24,9.07E+01
425.31,9.06E+01
425.37,9.11E+01
425.43,9.21E+01
425.49,9.33E+01
425.55,9.44E+01
425.61,9.53E+01
425.67,9.59E+01
425.73,9.64E+01
425.79,9.67E+01
425.85,9.68E+01
425.91,9.68E+01
425.97,9.67E+01
426.03,9.65E+01
426.09,9.63E+01
426.15,9.60E+01
426.21,9.58E+01
426.27,9.57E+01
426.33,9.57E+01
426.39,9.59E+01
426.45,9.61E+01
426.51,9.64E+01
426.57,9.66E+01
426.63,9.69E+01
426.69,9.71E+01
426.75,9.74E+01
426.81,9.76E+01
426.87,9.78E+01
426.93,9.81E+01
426.99,9.83E+01
427.05,9.85E+01
427.11,9.87E+01
427.17,9.87E+01
427.23,9.87E+01
427.29,9.87E+01
427.35,9.86E+01
427.41,9.84E+01
427.47,9.83E+01
427.54,9.82E+01
427.6,9.81E+01
427.66,9.80E+01
427.72,9.79E+01
427.78,9.78E+01
427.84,9.77E+01
427.9,9.77E+01
427.96,9.76E+01
428.02,9.77E+01
428.08,9.77E+01
428.14,9.78E+01
428.2,9.80E+01
428.26,9.81E+01
428.32,9.81E+01
428.38,9.80E+01
428.44,9.79E+01
428.5,9.77E+01
428.56,9.75E+01
428.62,9.72E+01
428.68,9.70E+01
428.74,9.69E+01
428.8,9.69E+01
428.86,9.70E+01
428.92,9.73E+01
428.98,9.77E+01
429.04,9.81E+01
429.1,9.87E+01
429.16,9.92E+01
429.22,9.96E+01
429.28,9.99E+01
429.34,9.99E+01
429.4,9.96E+01
429.46,9.92E+01
429.52,9.87E+01
429.58,9.81E+01
429.64,9.77E+01
429.7,9.74E+01
429.76,9.73E+01
429.83,9.74E+01
429.89,9.75E+01
429.95,9.77E+01
430.01,9.78E+01
430.07,9.78E+01
430.13,9.78E+01
430.19,9.77E+01
430.25,9.76E+01
430.31,9.74E+01
430.37,9.73E+01
430.43,9.73E+01
430.49,9.72E+01
430.55,9.71E+01
430.61,9.71E+01
430.67,9.71E+01
430.73,9.71E+01
430.79,9.70E+01
430.85,9.70E+01
430.91,9.70E+01
430.97,9.70E+01
431.03,9.69E+01
431.09,9.67E+01
431.15,9.66E+01
431.21,9.64E+01
431.27,9.62E+01
431.33,9.61E+01
431.39,9.60E+01
431.45,9.60E+01
431.51,9.61E+01
431.57,9.61E+01
431.63,9.62E+01
431.69,9.63E+01
431.75,9.64E+01
431.81,9.65E+01
431.87,9.66E+01
431.93,9.67E+01
